2018-10-30 17:51:05 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 97];
2018-10-30 17:51:10 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 97];
2018-10-30 17:51:15 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 97];
2018-10-30 17:51:20 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 97];
2018-10-30 17:51:25 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 97];
2018-10-30 17:51:30 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 97];
2018-10-30 17:51:35 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 97];
2018-10-30 17:51:40 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 97];
2018-10-30 17:51:45 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 97];
2018-10-30 17:51:50 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 97];
2018-10-30 17:51:55 [Timer-0] INFO  timer.TimedInfo - Port WH : Warehouse[max = 1000; current = 97];
